server,starttime,seconds,ctime,dtime,ttime,wait
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,15,15,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,15
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,16,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,16,17,16
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
Buffer,Sat Jan 21 14:00:17 2017,1485018017,0,17,17,17
